2018-05-23 11:15:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:17:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:19:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:21:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:23:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:23:24 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 11:23:24 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 11:23:24 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-23 11:23:24 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-23 11:28:32 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56082]
2018-05-23 11:30:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:32:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:34:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:36:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:38:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:40:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:42:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:44:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:46:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:46:38 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 11:46:38 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 11:46:38 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
