2018-06-19 01:41:49 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 01:41:59 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53380]
2018-06-19 01:41:59 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 01:44:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 01:45:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 01:45:49 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 01:45:49 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 01:45:49 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 12:59:03 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:51388]
2018-06-19 12:59:03 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:01:04 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 13:01:09 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:01:09 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:01:09 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:01:09 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:01:19 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:51495]
2018-06-19 13:01:19 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:01:37 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:01:37 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:01:37 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:01:37 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:01:48 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:51599]
2018-06-19 13:01:48 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:02:13 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:02:13 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:02:13 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:02:13 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:02:23 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:51705]
2018-06-19 13:02:23 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:04:11 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:04:11 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:04:11 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:04:11 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:14:32 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:51901]
2018-06-19 13:14:32 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:15:35 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:15:35 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:15:35 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:15:35 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:15:47 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:51939]
2018-06-19 13:15:47 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:17:47 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 13:19:49 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 13:25:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:read tcp 192.168.31.74:62310->192.168.31.82:51939: i/o timeout
