2018-06-18 00:39:51 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:39:51 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:39:51 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:39:51 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:39:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62619]
2018-06-18 00:39:58 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:40:58 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:40:58 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:40:58 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:40:58 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:41:04 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62701]
2018-06-18 00:41:04 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:42:22 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:42:22 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:42:22 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:42:22 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:42:29 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62843]
2018-06-18 00:42:29 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:43:16 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:43:16 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:43:16 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:43:16 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:43:22 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62947]
2018-06-18 00:43:22 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:44:13 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:44:13 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:44:13 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:44:13 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:44:19 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63059]
2018-06-18 00:44:19 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:44:57 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:44:57 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:44:57 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:44:57 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:45:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63243]
2018-06-18 00:45:43 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:45:46 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:45:46 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:45:46 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:45:46 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:48:55 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63326]
2018-06-18 00:48:55 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:49:01 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:49:01 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:49:01 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:49:01 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:49:12 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63396]
2018-06-18 00:49:12 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:49:44 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:49:44 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:49:44 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:49:44 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:49:51 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63454]
2018-06-18 00:49:51 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:50:05 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:50:05 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:50:05 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:50:05 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:50:12 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63515]
