2018-06-10 00:23:52 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:23:53 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51482]
2018-06-10 00:23:53 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:23:55 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:23:55 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:23:55 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:23:55 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:23:56 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51483]
2018-06-10 00:24:37 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:24:37 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:24:37 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-06-10 00:24:37 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-06-10 00:24:45 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51525]
2018-06-10 00:24:45 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:24:51 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:24:51 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:24:51 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:24:51 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:25:03 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51526]
2018-06-10 00:25:06 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
